achievementCount,attemptCount,chatRoom,codinGamer,communityCreation,contributor,coverBinaryId,creationTime,description,detailsPageUrl,doneAchievementCount,feedback,forumLink,globalTotal,id,lastActivity,league,level,logoBinaryId,mode,openChallenge,optimCriteria,optimCriteriaId,optimPoints,position,prettyId,previewBinaryId,puzzleLeaderboardId,rank,replayIds,score,solvedCount,testSessionHandle,thumbnailBinaryId,title,topics,total,type,validatorScore,xpPoints
0,845,,,True,"{'userId': 1100752, 'pseudo': 'ValNykol', 'publicHandle': '512fb043c43498b9bc7605da47190de72570011', 'enable': False, 'avatar': 10307803807981, 'cover': 8272966048611}",,1490280401341,,/training/hard/turing-machine,0,"{'feedbackId': 492, 'feedbacks': [0, 1, 8, 40, 99]}",,,308,,,hard,,,,,,,,turing-machine,,,0,,,508,7331076e0176b3a86ad717759f9fc4a678a6669,,Turing machine,[],,CODE,0,50.0
0,431,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",True,"{'userId': 552776, 'pseudo': 'player_one', 'publicHandle': 'fefb3b0a360d9451bde5553900470e2d677255', 'enable': False, 'avatar': 15603633176753, 'cover': 1775987663405}",,1490377298553,,/training/expert/binary-neural-network---part-1,0,"{'feedbackId': 499, 'feedbacks': [1, 0, 4, 5, 22]}",,,309,1536165216813.0,,expert,,,,,,,,binary-neural-network---part-1,,,0,,,108,81026692d84fba07770ecad0c024a7e6f730da1,,Binary neural network - Part 1,[],,CODE,0,50.0
0,240,,,True,"{'userId': 552776, 'pseudo': 'player_one', 'publicHandle': 'fefb3b0a360d9451bde5553900470e2d677255', 'enable': False, 'avatar': 15603633176753, 'cover': 1775987663405}",,1490856199335,,/training/expert/binary-neural-network---part-2,0,"{'feedbackId': 515, 'feedbacks': [1, 1, 3, 7, 14]}",,,310,,,expert,,,,,,,,binary-neural-network---part-2,,,0,,,89,1321269968270941bdf9bbf67d26682f5b83cb8a,,Binary neural network - Part 2,[],,CODE,0,50.0
0,790,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",True,"{'userId': 1864367, 'pseudo': 'Heino', 'publicHandle': 'b45e8537f5bfe28738fde1e6fc1e25047634681', 'enable': False, 'avatar': 11373953931092, 'cover': 11580274970081}",,1491834466458,,/training/expert/skylines,0,"{'feedbackId': 547, 'feedbacks': [4, 4, 17, 30, 32]}",,,311,1494171713002.0,,expert,,,,,,,,skylines,,,0,,,240,7563817f745de7a6869f5e040c442b4be42bb23,,Skylines,[],,CODE,100,50.0
0,742,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",True,"{'userId': 1306541, 'pseudo': 'Steuh', 'publicHandle': '96e62e1385aa7bcfd1c0449d1a7fbcc81456031', 'enable': False, 'avatar': 15808915160175, 'cover': 4579314798542}",,1491841457020,,/training/hard/levenshtein-distance,0,"{'feedbackId': 548, 'feedbacks': [1, 4, 16, 27, 55]}",,,312,1493231828024.0,,hard,,,,,,,,levenshtein-distance,,,0,,,411,7485527ab491fc02f9f33e6476dd2fa44af4e11,,Levenshtein distance,[],,CODE,100,50.0
0,142,,,True,"{'userId': 154906, 'pseudo': 'JBM', 'publicHandle': '0d71f9df5da706f9f77c07c34d12480e609451', 'enable': False}",,1491842294887,,/training/hard/cheat-solving,0,"{'feedbackId': 549, 'feedbacks': [0, 2, 0, 3, 19]}",,,313,,,hard,,,,,,,,cheat-solving,,,0,,,92,,,Cheat Solving,[],,CODE,0,50.0
0,1350,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",True,"{'userId': 1480925, 'pseudo': 'TwelveOThirteen', 'publicHandle': 'dd7051f8786a55a8d7dacce754e276b75290841', 'enable': False, 'avatar': 9870244569932, 'cover': 6798329554273}",,1492264215694,,/training/hard/highest-truncated-pyramid,0,"{'feedbackId': 566, 'feedbacks': [4, 14, 37, 62, 92]}",,,314,1494928575739.0,,hard,,,,,,,,highest-truncated-pyramid,,,0,,,667,7493238aefe6b91d1f38ca341390d0d9a0fce75,,Highest truncated pyramid,[],,CODE,100,50.0
0,1358,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",True,"{'userId': 1781409, 'pseudo': 'schubc', 'publicHandle': '80f96c2d985efde5268251d447c80f0f9041871', 'enable': False, 'avatar': 12267390898127}",,1493310155358,,/training/hard/the-hungry-duck---part-1,0,"{'feedbackId': 586, 'feedbacks': [1, 4, 23, 60, 99]}",,,315,1500726696005.0,,hard,,,,,,,,the-hungry-duck---part-1,,,0,,,811,75135987808b5745587ae28320c2e22c871f4b4,,The hungry duck - part 1,[],,CODE,100,50.0
0,874,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",True,"{'userId': 1781409, 'pseudo': 'schubc', 'publicHandle': '80f96c2d985efde5268251d447c80f0f9041871', 'enable': False, 'avatar': 12267390898127}",,1493412559511,,/training/hard/the-hungry-duck---part-2,0,"{'feedbackId': 594, 'feedbacks': [1, 2, 13, 36, 100]}",,,318,1500726596060.0,,hard,,,,,,,,the-hungry-duck---part-2,,,0,,,605,75139874bc2cc8226a84b928b2325062818f1da,,The hungry duck - part 2,[],,CODE,100,50.0
0,979,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",True,"{'userId': 788361, 'pseudo': 'Bob', 'publicHandle': '73a5c7e75cde8949ee1fe332045d6d23163887', 'enable': False, 'avatar': 29407964997640, 'cover': 2508945958620}",,1493802407684,,/training/hard/monday-tuesday-happy-days,0,"{'feedbackId': 601, 'feedbacks': [4, 6, 38, 62, 63]}",,,319,1498973860027.0,,hard,,,,,,,,monday-tuesday-happy-days,,,0,,,677,76860952c41d10defddc7566999b9a787acd84b,,Monday Tuesday Happy Days,[],,CODE,100,50.0
